#format table ## [Custom WaveView] saved 20:37:00 Tue Aug 04 2026
TIME ,v(clk) ,v(out_n) ,v(out_p) 
 1.45710E-009 , 0.00000E+000 , 8.92150E-001 , 1.92900E+000 
 1.46800E-009 , 0.00000E+000 , 1.11690E+000 , 1.94710E+000 
 1.48020E-009 , 0.00000E+000 , 1.30540E+000 , 1.94930E+000 
 1.50110E-009 , 0.00000E+000 , 1.53730E+000 , 1.91910E+000 
 1.51620E-009 , 0.00000E+000 , 1.64210E+000 , 1.88640E+000 
 1.53560E-009 , 0.00000E+000 , 1.71900E+000 , 1.85330E+000 
 1.55400E-009 , 0.00000E+000 , 1.75690E+000 , 1.83200E+000 
 1.57860E-009 , 0.00000E+000 , 1.78160E+000 , 1.81540E+000 
 1.60000E-009 , 0.00000E+000 , 1.79110E+000 , 1.80790E+000 
 1.60370E-009 , 2.25000E-001 , 1.81950E+000 , 1.83480E+000 
 1.60530E-009 , 3.18250E-001 , 1.83100E+000 , 1.84560E+000 
 1.61030E-009 , 6.16630E-001 , 1.86440E+000 , 1.87720E+000 
 1.61990E-009 , 1.19640E+000 , 1.93070E+000 , 1.94130E+000 
 1.62710E-009 , 1.62840E+000 , 1.97950E+000 , 1.98940E+000 
 1.63000E-009 , 1.80000E+000 , 1.98480E+000 , 1.99400E+000 
 1.63110E-009 , 1.80000E+000 , 1.98230E+000 , 1.99140E+000 
 1.63170E-009 , 1.80000E+000 , 1.98100E+000 , 1.98990E+000 
 1.63370E-009 , 1.80000E+000 , 1.97630E+000 , 1.98480E+000 
 1.63950E-009 , 1.80000E+000 , 1.96180E+000 , 1.96890E+000 
 1.64670E-009 , 1.80000E+000 , 1.93600E+000 , 1.94110E+000 
 1.65650E-009 , 1.80000E+000 , 1.84030E+000 , 1.86600E+000 
 1.66750E-009 , 1.80000E+000 , 1.67270E+000 , 1.75260E+000 
 1.68080E-009 , 1.80000E+000 , 1.44140E+000 , 1.58650E+000 
 1.69420E-009 , 1.80000E+000 , 1.22150E+000 , 1.42130E+000 
 1.71030E-009 , 1.80000E+000 , 1.00300E+000 , 1.28980E+000 
 1.72560E-009 , 1.80000E+000 , 8.10560E-001 , 1.27820E+000 
 1.74300E-009 , 1.80000E+000 , 6.04460E-001 , 1.39740E+000 
 1.77620E-009 , 1.80000E+000 , 3.30570E-001 , 1.62650E+000 
 1.78800E-009 , 1.80000E+000 , 2.56270E-001 , 1.67830E+000 
 1.80000E-009 , 1.80000E+000 , 1.88070E-001 , 1.71370E+000 
 1.80300E-009 , 1.62290E+000 , 1.63990E-001 , 1.71250E+000 
 1.80420E-009 , 1.55100E+000 , 1.54290E-001 , 1.71200E+000 
 1.80800E-009 , 1.32100E+000 , 1.24460E-001 , 1.71140E+000 
 1.82030E-009 , 5.84990E-001 , 1.05130E-001 , 1.72190E+000 
 1.83000E-009 , 0.00000E+000 , 2.23530E-001 , 1.76600E+000 
 1.83150E-009 , 0.00000E+000 , 2.59990E-001 , 1.78270E+000 
 1.83260E-009 , 0.00000E+000 , 2.84930E-001 , 1.79370E+000 
 1.83590E-009 , 0.00000E+000 , 3.66400E-001 , 1.82480E+000 
 1.84630E-009 , 0.00000E+000 , 6.28760E-001 , 1.89180E+000 
 1.85710E-009 , 0.00000E+000 , 8.92180E-001 , 1.92900E+000 
 1.86800E-009 , 0.00000E+000 , 1.11690E+000 , 1.94710E+000 
 1.88020E-009 , 0.00000E+000 , 1.30550E+000 , 1.94930E+000 
 1.90110E-009 , 0.00000E+000 , 1.53740E+000 , 1.91900E+000 
 1.91620E-009 , 0.00000E+000 , 1.64220E+000 , 1.88640E+000 
 1.93560E-009 , 0.00000E+000 , 1.71900E+000 , 1.85320E+000 
 1.95400E-009 , 0.00000E+000 , 1.75690E+000 , 1.83200E+000 
 1.97860E-009 , 0.00000E+000 , 1.78160E+000 , 1.81540E+000 
 2.00000E-009 , 0.00000E+000 , 1.79110E+000 , 1.80790E+000 
 2.00380E-009 , 2.25000E-001 , 1.81950E+000 , 1.83480E+000 
 2.00530E-009 , 3.18230E-001 , 1.83100E+000 , 1.84560E+000 
 2.01030E-009 , 6.16570E-001 , 1.86440E+000 , 1.87720E+000 
